"","Home","X","Y","Visitor","Local"
"1","FOR",0,2,"CAP",1
"2","CFC",0,1,"INT",1
"3","SPT",3,2,"CEA",1
"4","FLA",0,1,"CAM",1
"5","SAN",1,1,"BGT",1
"6","GRE",1,0,"FLU",1
"7","BOT",1,2,"BAH",1
"8","COR",0,0,"ACG",1
"9","GOI",0,3,"SAO",1
"10","PAL",1,1,"VAS",1
"11","BGT",1,1,"BOT",1
"12","CAM",3,2,"COR",1
"13","CAP",2,1,"GOI",1
"14","BAH",1,0,"CFC",0
"15","ACG",3,0,"FLA",0
"16","FLU",1,1,"PAL",0
"17","CEA",1,1,"GRE",1
"18","SAO",1,0,"FOR",1
"19","INT",2,0,"SAN",1
"20","VAS",2,0,"SPT",1
"21","GRE",0,0,"COR",1
"22","CFC",0,1,"FLA",1
"23","PAL",1,1,"GOI",1
"24","CAM",2,0,"CEA",1
"25","VAS",2,1,"SAO",1
"26","BAH",2,1,"BGT",0
"27","FLU",2,1,"INT",0
"28","ACG",1,1,"SPT",0
"29","FOR",0,0,"BOT",1
"30","SAN",3,1,"CAP",1
"31","FLA",1,1,"GRE",1
"32","BGT",2,1,"FLU",1
"33","CAP",0,1,"PAL",1
"34","INT",3,0,"ACG",1
"35","GOI",1,3,"FOR",1
"36","BOT",2,1,"CAM",1
"37","COR",3,1,"CFC",1
"38","SPT",0,1,"SAN",1
"39","SAO",1,1,"BAH",1
"40","CEA",0,3,"VAS",1
"41","CAP",0,1,"FLU",1
"42","INT",1,0,"CAM",1
"43","GOI",2,0,"ACG",1
"44","FLA",1,1,"BOT",1
"45","VAS",0,0,"GRE",1
"46","PAL",2,1,"SAN",0
"47","BGT",1,2,"CFC",1
"48","SPT",0,1,"SAO",1
"49","CEA",2,0,"BAH",1
"50","COR",1,1,"FOR",1
"51","BOT",0,2,"INT",1
"52","FLU",2,1,"VAS",0
"53","BAH",1,1,"PAL",0
"54","FOR",3,0,"BGT",1
"55","SAO",2,1,"COR",1
"56","SAN",0,1,"FLA",1
"57","CFC",1,0,"SPT",1
"58","ACG",0,2,"CEA",0
"59","CAM",0,2,"CAP",1
"60","GRE",2,1,"GOI",1
"61","CEA",1,0,"FOR",1
"62","FLU",1,1,"ACG",0
"63","GOI",1,2,"COR",1
"64","BOT",0,0,"CFC",1
"65","BAH",3,5,"FLA",0
"66","CAP",1,1,"BGT",1
"67","PAL",1,1,"INT",1
"68","SAN",2,2,"VAS",1
"69","GRE",1,2,"SPT",1
"70","CAM",3,0,"SAO",1
"71","FLA",2,1,"FOR",1
"72","COR",2,2,"BOT",1
"73","CEA",0,1,"SAN",1
"74","BGT",1,2,"PAL",1
"75","SAO",3,1,"FLU",1
"76","INT",2,2,"BAH",1
"77","VAS",1,0,"CAP",1
"78","ACG",1,1,"GRE",0
"79","SPT",2,1,"GOI",1
"80","CFC",0,1,"CAM",1
"81","CAP",1,1,"BOT",1
"82","FOR",1,0,"SPT",1
"83","GOI",3,3,"CFC",1
"84","SAO",1,1,"BGT",1
"85","FLU",1,2,"FLA",0
"86","SAN",3,1,"CAM",1
"87","COR",0,2,"PAL",1
"88","INT",2,0,"CEA",1
"89","BAH",0,2,"GRE",0
"90","VAS",1,2,"ACG",1
"91","CAP",1,0,"CFC",1
"92","SAN",2,2,"SAO",1
"93","FLU",2,1,"COR",0
"94","GRE",1,1,"FOR",1
"95","CAM",2,1,"BGT",1
"96","BAH",0,1,"ACG",0
"97","CEA",2,0,"FLA",1
"98","GOI",1,0,"INT",1
"99","PAL",2,2,"SPT",1
"100","BOT",2,3,"VAS",1
"101","SAO",1,0,"CAP",1
"102","COR",3,2,"BAH",1
"103","BGT",4,2,"CEA",1
"104","FOR",1,0,"INT",1
"105","ACG",3,4,"CAM",0
"106","GRE",1,1,"PAL",1
"107","CFC",1,0,"VAS",1
"108","BOT",0,0,"SAN",1
"109","SPT",1,0,"FLU",1
"110","FLA",2,1,"GOI",1
"111","SPT",1,0,"COR",1
"112","INT",1,1,"SAO",1
"113","CAP",1,0,"BAH",1
"114","CAM",3,1,"GRE",1
"115","VAS",1,1,"BGT",1
"116","PAL",1,1,"FLA",1
"117","CEA",2,2,"GOI",1
"118","ACG",1,1,"BOT",0
"119","SAN",1,1,"FOR",1
"120","FLU",4,0,"CFC",0
"121","GRE",1,1,"INT",1
"122","PAL",2,1,"CEA",1
"123","BGT",0,0,"COR",1
"124","BOT",1,1,"FLU",1
"125","FLA",3,1,"CAP",1
"126","CFC",1,1,"SAO",1
"127","BAH",1,2,"SPT",0
"128","FOR",0,0,"ACG",1
"129","GOI",2,3,"SAN",1
"130","CAM",4,1,"VAS",1
"131","COR",1,1,"SAN",1
"132","FLA",3,0,"SPT",1
"133","GRE",2,1,"CFC",1
"134","BAH",3,0,"VAS",0
"135","SAO",3,0,"ACG",1
"136","GOI",2,4,"FLU",1
"137","BOT",2,1,"PAL",1
"138","FOR",2,1,"CAM",1
"139","CAP",0,0,"CEA",1
"140","BGT",0,2,"INT",1
"141","VAS",1,2,"FLA",1
"142","PAL",0,2,"SAO",1
"143","CFC",0,0,"FOR",1
"144","CAM",3,0,"GOI",1
"145","FLU",1,0,"BAH",0
"146","SAN",2,1,"GRE",1
"147","SPT",1,2,"BOT",1
